AP_DEP,AP_ARR,DEPART_PROG,HEURE_DEP,RETARD_DEPART,TAXI_TIME,TEMPS_VOL,DISTANCE,ARRIVEE_PROG,RETARD_ARRIVEE,DATE,COMPAGNIE,NOM_COMPAGNIE,NOM_AP_DEP,VILLE_DEP,PAYS_DEP,LON_DEP,LAT_DEP,HAUTEUR_DEP,COUT_10_DEP,COUT_SUP_DEP,NOM_AP_ARR,VILLE_ARR,PAYS_ARR,LON_ARR,LAT_ARR,HAUTEUR_ARR,COUT_10_ARR,COUT_SUP_ARR,ANNEE,MOIS,JOUR_SEM,HEURE_DEP_H,RETARD_BIN,RETARD_SEVERE,COUT_TOTAL,NOM_MOIS,NOM_JOUR,CRENEAU,SEGMENT_DIST
BAH,KRK,1812,1822.0,10.0,7.0,49.0,125,1901,-3.0,2016-02-09,SMITH,Bel Air,Bahrain International Airport,Manama,Bahreïn,50.63359832763672,26.27079963684082,6.0,6437,610,KrakÃ³w John Paul II International Airport,KrakÃ³w,Pologne,19.7848,50.077702,791.0,6705,539,2016,2,1,18,0,0,14291,Fév,Mar,Soirée (18-20h),Court (<500km)
AGP,DLC,1730,1727.0,-3.0,13.0,71.0,214,1741,-16.0,2016-05-10,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Zhoushuizi Airport,Dalian,Chine,121.53900146484376,38.9656982421875,107.0,7443,867,2016,5,1,17,0,0,9224,Mai,Mar,Après-midi (15-17h),Court (<500km)
BOH,ALG,1350,1633.0,163.0,84.0,148.0,861,1618,,2016-08-20,COA,Corporate Overlord Airways,Bournemouth Airport,Bournemouth,Royaume-Uni,-1.8424999713897705,50.779998779296875,38.0,3147,278,Houari Boumediene Airport,Algiers,Algérie,3.215409994125366,36.69100189208984,82.0,5654,786,2016,8,5,16,0,0,9865,Aoû,Sam,Après-midi (15-17h),Moyen (500-1500km)
WRO,DUR,1220,1239.0,19.0,13.0,186.0,1237,1526,9.0,2016-01-10,OA,Overpriced Air,Copernicus WrocÅaw Airport,WrocÅaw,Pologne,16.885799408,51.1026992798,404.0,1422,78,King Shaka International Airport,Durban,Afrique du Sud,31.1197222222,-29.6144444444,295.0,5737,823,2016,1,6,12,0,0,8060,Jan,Dim,Midi (12-14h),Moyen (500-1500km)
AAL,JNB,929,924.0,-5.0,16.0,202.0,1276,1051,-11.0,2016-04-11,APSLM,Air Piloter Sans Les Mains,Aalborg Airport,Aalborg,Danemark,9.84924316406,57.0927589138,10.0,8346,353,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,2016,4,0,9,0,0,11430,Avr,Lun,Matin (9-11h),Moyen (500-1500km)
AAL,ALP,2152,2213.0,21.0,13.0,120.0,489,2252,-5.0,2016-12-20,MAF,Morally Ambiguious Fligthts,Aalborg Airport,Aalborg,Danemark,9.84924316406,57.0927589138,10.0,8346,353,Aleppo International Airport,Aleppo,Syrie,37.22439956665039,36.18069839477539,1276.0,3060,187,2016,12,1,22,0,0,11946,Déc,Mar,Nuit tardive (21-24h),Court (<500km)
VIE,MAN,505,457.0,-8.0,8.0,36.0,100,541,-6.0,2018-05-10,AP,Air Penguin,Vienna International Airport,Vienna,Autriche,16.569700241089,48.110298156738,600.0,8191,90,Manchester Airport,Manchester,Royaume-Uni,-2.2749500274658203,53.35369873046875,257.0,6322,681,2018,5,3,4,0,0,15284,Mai,Jeu,Nuit (0-5h),Court (<500km)
AGP,DLC,1340,1340.0,0.0,11.0,64.0,214,1344,-10.0,2017-02-10,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Zhoushuizi Airport,Dalian,Chine,121.53900146484376,38.9656982421875,107.0,7443,867,2017,2,4,13,0,0,9224,Fév,Ven,Midi (12-14h),Court (<500km)
DXB,DAC,844,843.0,-1.0,7.0,71.0,312,955,4.0,2018-07-09,I6F,IE 6.0 Flights,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Hazrat Shahjalal International Airport,Dhaka,Bangladesh,90.397783,23.843347,30.0,1488,44,2018,7,0,8,0,0,8766,Jul,Lun,Tôt matin (6-8h),Court (<500km)
SHJ,ALG,1835,1858.0,23.0,23.0,171.0,1005,2226,12.0,2017-08-14,COA,Corporate Overlord Airways,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,Houari Boumediene Airport,Algiers,Algérie,3.215409994125366,36.69100189208984,82.0,5654,786,2017,8,0,18,0,0,15022,Aoû,Lun,Soirée (18-20h),Moyen (500-1500km)
BRU,SXF,700,657.0,-3.0,12.0,80.0,337,820,-14.0,2016-03-11,BTATA,Better Take A Train Airlines,Brussels Airport,Brussels,Belgique,4.48443984985,50.9014015198,184.0,5077,48,Berlin-SchÃ¶nefeld Airport,Berlin,Allemagne,13.5225,52.380001,157.0,2151,685,2016,3,4,6,0,0,7961,Mar,Ven,Tôt matin (6-8h),Court (<500km)
DOH,MPM,1639,1630.0,-9.0,9.0,96.0,458,1815,-16.0,2018-09-16,I6F,IE 6.0 Flights,Hamad International Airport,Doha,Qatar,51.608056,25.273056,13.0,5190,264,Maputo Airport,Maputo,Mozambique,32.572601,-25.920799,145.0,4778,12,2018,9,6,16,0,0,10244,Sep,Dim,Après-midi (15-17h),Court (<500km)
CNX,BOD,1737,1731.0,-6.0,15.0,245.0,1571,2042,-12.0,2018-11-21,THA,Try Hard Airlines,Chiang Mai International Airport,Chiang Mai,Thaïlande,98.962600708,18.766799926799997,1036.0,7457,832,Bordeaux-MÃ©rignac Airport,Bordeaux/MÃ©rignac,France,-0.715556025505,44.8283004761,162.0,5166,417,2018,11,2,17,0,0,13872,Nov,Mer,Après-midi (15-17h),Long (1500-3000km)
MBA,AGP,1806,1801.0,-5.0,8.0,158.0,853,2044,-18.0,2018-03-25,I6F,IE 6.0 Flights,Mombasa Moi International Airport,Mombasa,Kenya,39.594200134277344,-4.034830093383789,200.0,6836,485,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,2018,3,6,18,0,0,8235,Mar,Dim,Soirée (18-20h),Moyen (500-1500km)
MPM,CTU,1739,1744.0,5.0,14.0,225.0,1400,2224,-15.0,2018-06-11,THA,Try Hard Airlines,Maputo Airport,Maputo,Mozambique,32.572601,-25.920799,145.0,4778,12,Chengdu Shuangliu International Airport,Chengdu,Chine,103.9469985961914,30.578500747680664,1625.0,4289,838,2018,6,0,17,0,0,9917,Jun,Lun,Après-midi (15-17h),Moyen (500-1500km)
REP,PRG,2320,2324.0,4.0,11.0,55.0,261,15,7.0,2018-05-29,FIPI,Fliying Is Possible Inc.,Siem Reap International Airport,Siem Reap,Cambodge,103.81300354,13.410699844400002,60.0,920,871,VÃ¡clav Havel Airport Prague,Prague,République tchèque,14.26,50.1008,1247.0,5123,150,2018,5,1,23,0,0,7064,Mai,Mar,Nuit tardive (21-24h),Court (<500km)
TNA,HAN,2020,2017.0,-3.0,27.0,226.0,1337,2206,5.0,2016-03-02,NA,Neverland Airlines,Yaoqiang Airport,Jinan,Chine,117.21600341796876,36.857200622558594,76.0,2066,795,Noi Bai International Airport,Hanoi,Vietnam,105.80699920654295,21.221200942993164,39.0,8379,693,2016,3,2,20,0,0,11933,Mar,Mer,Soirée (18-20h),Moyen (500-1500km)
GLA,AGP,1645,1702.0,17.0,25.0,98.0,406,1823,12.0,2018-01-08,NVPPA,Ne Va Pas Partout Airlines,Glasgow International Airport,Glasgow,Royaume-Uni,-4.43306016922,55.8718986511,26.0,5389,289,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,2018,1,0,17,0,0,6592,Jan,Lun,Après-midi (15-17h),Court (<500km)
AGP,JUB,1513,1513.0,0.0,27.0,99.0,432,1652,1.0,2016-03-31,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Juba International Airport,Juba,Soudan du Sud,31.6011009216,4.87201023102,1513.0,8647,813,2016,3,3,15,0,0,10374,Mar,Jeu,Après-midi (15-17h),Court (<500km)
KWL,TBS,1445,1503.0,18.0,15.0,216.0,1182,1721,6.0,2018-03-22,OA,Overpriced Air,Guilin Liangjiang International Airport,Guilin City,Chine,110.03900146484376,25.21809959411621,570.0,2309,422,Tbilisi International Airport,Tbilisi,Géorgie,44.95470047,41.6692008972,1624.0,1582,722,2018,3,3,15,0,0,5035,Mar,Jeu,Après-midi (15-17h),Moyen (500-1500km)
DPS,AAL,1545,1540.0,-5.0,7.0,49.0,76,1634,-10.0,2016-02-05,I6F,IE 6.0 Flights,Ngurah Rai (Bali) International Airport,Denpasar-Bali Island,Indonésie,115.16699981689,-8.7481698989868,14.0,1889,24,Aalborg Airport,Aalborg,Danemark,9.84924316406,57.0927589138,10.0,8346,353,2016,2,4,15,0,0,10612,Fév,Ven,Après-midi (15-17h),Court (<500km)
SXF,AAL,1230,1225.0,-5.0,14.0,215.0,1589,1805,-16.0,2017-05-27,NVPPA,Ne Va Pas Partout Airlines,Berlin-SchÃ¶nefeld Airport,Berlin,Allemagne,13.5225,52.380001,157.0,2151,685,Aalborg Airport,Aalborg,Danemark,9.84924316406,57.0927589138,10.0,8346,353,2017,5,5,12,0,0,11535,Mai,Sam,Midi (12-14h),Long (1500-3000km)
CAI,SHJ,1718,1708.0,-10.0,8.0,130.0,594,1828,-39.0,2018-11-24,THA,Try Hard Airlines,Cairo International Airport,Cairo,Égypte,31.40559959411621,30.12190055847168,382.0,6228,886,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,2018,11,5,17,0,0,15696,Nov,Sam,Après-midi (15-17h),Moyen (500-1500km)
DLC,SHJ,619,621.0,2.0,24.0,101.0,409,800,4.0,2018-08-26,MAF,Morally Ambiguious Fligthts,Zhoushuizi Airport,Dalian,Chine,121.53900146484376,38.9656982421875,107.0,7443,867,Sharjah International Airport,Sharjah,Émirats arabes unis,55.5172004699707,25.32859992980957,111.0,8241,341,2018,8,6,6,0,0,16892,Aoû,Dim,Tôt matin (6-8h),Court (<500km)
MPM,SVG,1905,1906.0,1.0,21.0,170.0,1091,2255,-11.0,2016-07-23,THA,Try Hard Airlines,Maputo Airport,Maputo,Mozambique,32.572601,-25.920799,145.0,4778,12,Stavanger Airport Sola,Stavanger,Norvège,5.6377801895,58.876701354,29.0,3221,440,2016,7,5,19,0,0,8451,Jul,Sam,Soirée (18-20h),Moyen (500-1500km)
DTM,DXB,1947,1939.0,-8.0,8.0,65.0,175,2052,-21.0,2018-08-24,SMITH,Bel Air,Dortmund Airport,Dortmund,Allemagne,7.61223983765,51.51829910279999,425.0,2553,859,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,2018,8,4,19,0,0,10646,Aoû,Ven,Soirée (18-20h),Court (<500km)
DXB,TBS,1345,1339.0,-6.0,14.0,90.0,447,1515,-17.0,2016-11-03,COA,Corporate Overlord Airways,Dubai International Airport,Dubai,Émirats arabes unis,55.3643989563,25.2527999878,62.0,6386,848,Tbilisi International Airport,Tbilisi,Géorgie,44.95470047,41.6692008972,1624.0,1582,722,2016,11,3,13,0,0,9538,Nov,Jeu,Midi (12-14h),Court (<500km)
DQM,JNB,951,950.0,-1.0,11.0,105.0,621,1136,3.0,2018-04-29,NA,Neverland Airlines,Duqm International Airport,Duqm,Oman,57.634167,19.501944,364.0,8121,462,OR Tambo International Airport,Johannesburg,Afrique du Sud,28.246,-26.1392,5558.0,2125,606,2018,4,6,9,0,0,11314,Avr,Dim,Matin (9-11h),Moyen (500-1500km)
AMM,DUR,1622,1621.0,-1.0,11.0,111.0,612,1813,-3.0,2016-04-16,OA,Overpriced Air,Queen Alia International Airport,Amman,Jordanie,35.9931983948,31.7226009369,2395.0,7452,781,King Shaka International Airport,Durban,Afrique du Sud,31.1197222222,-29.6144444444,295.0,5737,823,2016,4,5,16,0,0,14793,Avr,Sam,Après-midi (15-17h),Moyen (500-1500km)
AGP,KIX,1850,1854.0,4.0,13.0,259.0,1590,2109,-4.0,2016-01-07,NVPPA,Ne Va Pas Partout Airlines,MÃ¡laga Airport,MÃ¡laga,Espagne,-4.499110221862793,36.67490005493164,53.0,771,143,Kansai International Airport,Osaka,Japon,135.24400329589844,34.42729949951172,26.0,1547,546,2016,1,3,18,0,0,3007,Jan,Jeu,Soirée (18-20h),Long (1500-3000km)
